container_id,energy_actual,energy_predicted,energy_recovery_ratio,arm
c_10032,0.39099028703312433,0.0031502489000558853,0.00805710270697594,mse
c_10034,1.9379008195652168,0.014418141916394234,0.007440082470076594,mse
c_10089,0.5521655684024986,0.008281138725578785,0.014997564497796222,mse
c_10132,3.5017783191523764,0.014195382595062256,0.004053763916871335,mse
c_1016,0.13878178768449406,0.0005073084030300379,0.003655439315880198,mse
c_10306,1.2524947054889028,0.011681237258017063,0.00932637655618462,mse
c_10312,0.015237315054447254,0.0007321973680518568,0.04805291256599392,mse
c_10382,0.9378575125819919,0.01889140158891678,0.02014314683784676,mse
c_10393,0.5156813215398225,0.012288456782698631,0.023829555714768465,mse
c_10641,0.12438458620476314,0.0011364077217876911,0.009136242330837725,mse
c_10695,2.8461008447934573,0.018162135034799576,0.006381409523146257,mse
c_10733,1.9046975239870831,0.012580106034874916,0.006604778909220774,mse
c_10878,1.1552571275881078,0.004690676461905241,0.004060287835400088,mse
c_10898,2.729065126679587,0.005438225343823433,0.0019927063266680046,mse
c_11013,0.7652527933684632,0.007914911955595016,0.010342872347783838,mse
c_11087,1.6131661375890105,0.002571843098849058,0.001594282844724758,mse
c_11203,0.6190071147328527,0.009953919798135757,0.016080461050002,mse
c_11307,6.541823565633029,0.025097381323575974,0.0038364503523792893,mse
c_11327,0.8380746350218379,0.010648442432284355,0.012705840252529401,mse
c_11461,0.24298238216560833,0.012465092353522778,0.05130039570122827,mse
c_11735,1.4772035217690083,0.0025911317206919193,0.001754079030077683,mse
c_11752,1.4272658658373696,0.005703856237232685,0.003996351607474521,mse
c_1181,1.3651453923418577,0.0029950670432299376,0.002193954621999645,mse
c_1186,0.35424342734540176,0.012138871476054192,0.03426703373727891,mse
c_11996,0.6413927937371836,0.008900218643248081,0.01387639326502166,mse
c_12060,5.418800980461531,0.013467108830809593,0.0024852562180024134,mse
c_12158,0.3382156351033798,0.004546112380921841,0.013441461331414394,mse
c_12164,0.5326352925266012,0.009443516843020916,0.01772979931206733,mse
c_12174,2.1388209877196376,0.010391323827207088,0.004858435505762491,mse
c_12189,0.1371685825573984,0.00038328132359310985,0.002794235505296741,mse
c_12193,1.5934811308475694,0.012886598706245422,0.008087073299318622,mse
c_12231,9.847329495090225,0.04444187134504318,0.0045130886873645725,mse
c_12237,14.233723558647165,0.024338221177458763,0.0017098984027038371,mse
c_12441,0.2693140756092773,0.001062197145074606,0.003944083288894447,mse
c_12517,0.5576131887410888,0.020860079675912857,0.03740958803899206,mse
c_12624,0.6835978090517383,0.014058725908398628,0.020565785498786744,mse
c_12767,1.5250614880397186,0.02213299088180065,0.014512851485253834,mse
c_12858,0.2880753191450708,0.003257546341046691,0.011307967481262202,mse
c_1286,1.8896303621708679,0.03174009174108505,0.01679698441372471,mse
c_12971,1.8832374032135957,0.002374598290771246,0.001260912876262537,mse
c_12974,1.7729547085162918,0.01845179684460163,0.010407370676740598,mse
c_12993,0.7524637126553275,0.004125360865145922,0.0054824715076135224,mse
c_12999,0.4809003633963007,0.00512676639482379,0.010660766314703156,mse
c_13020,0.8119859311309859,0.020586572587490082,0.025353361183014324,mse
c_13044,2.6363319273695445,0.010193582624197006,0.0038665778456690265,mse
c_13083,1.3766712753710144,0.02196931093931198,0.015958283820072607,mse
c_13166,0.5723482451265123,0.00797200296074152,0.01392858810806589,mse
c_13170,0.7402773076511735,0.0024123801849782467,0.0032587520379795103,mse
c_13229,8.201256268029537,0.01931130886077881,0.0023546769213954356,mse
c_13269,2.7595966475527316,0.009466774761676788,0.0034304921953257636,mse
c_13308,0.02224524013626291,0.0004225837765261531,0.018996593156002006,mse
c_13389,1.9607876813918623,0.013767784461379051,0.0070215580157082635,mse
c_13403,0.44573640627523414,0.005294326692819595,0.011877707582966524,mse
c_13441,0.35981545115825586,0.010497678071260452,0.02917517309906547,mse
c_13607,8.442144671781552,0.009922834113240242,0.0011753925689532419,mse
c_13615,0.42446796715230495,0.003266484010964632,0.007695478254528858,mse
c_13658,20.580642506539625,0.005036715418100357,0.0002447307180278706,mse
c_13690,0.2643249030481928,0.012022683396935463,0.04548448995266798,mse
c_1379,0.746684953427537,0.012135069817304611,0.016251927619005214,mse
c_1387,0.03820834517217304,0.0002558003761805594,0.00669488236216149,mse
c_13873,25.08732867861826,0.0017299054889008403,6.895534837773404e-05,mse
c_14106,2.830035511796115,0.0002453782653901726,8.670501284078957e-05,mse
c_14135,1.108952487857377,0.00849619135260582,0.007661456595874032,mse
c_14296,3.2187424558136373,0.0020097922533750534,0.000624402940267868,mse
c_14363,5.406175263340151,0.022164832800626755,0.0040999101436701175,mse
c_14388,0.06297370376882483,0.0004547450225800276,0.0072211890894870534,mse
c_14396,1.4962427119122035,0.008326856419444084,0.005565177596622898,mse
c_14413,2.8988021105503194,0.004787570796906948,0.001651568687452783,mse
c_14416,6.756266467561591,0.012739354744553566,0.0018855613238048226,mse
c_14417,0.4120205239244098,0.004220382776111364,0.010243137249361017,mse
c_14435,0.031232384767242327,0.0007814478594809771,0.02502043520866803,mse
c_14471,0.23136355160810557,0.00044834479922428727,0.0019378367772626291,mse
c_14820,0.9331661194343139,0.04591307416558266,0.04920139427416761,mse
c_14855,0.2832365942308446,0.010562747716903687,0.037293019094470525,mse
c_14886,0.21334954649610666,0.010643996298313141,0.04988994105270985,mse
c_1494,0.610152169297771,0.004309104755520821,0.00706234439923438,mse
c_14964,3.225081905424556,0.002531808102503419,0.0007850368383652342,mse
c_15030,3.896594137196065,0.013713479042053223,0.0035193501194151185,mse
c_15035,15.706969348847208,0.00041760728345252573,2.6587387686165917e-05,mse
c_15072,3.1006411944345493,0.007333136163651943,0.002365038617436435,mse
c_15179,1.26584326227984,0.03544699400663376,0.028002672260380918,mse
c_15235,0.1579103379357396,0.005479898769408464,0.03470259668267233,mse
c_15282,3.5956912152119633,0.02270117960870266,0.006313439683770077,mse
c_15420,5.306758316913861,0.008037685416638851,0.0015146130531365819,mse
c_15446,0.8105430166954322,0.00022413567057810724,0.00027652532433368427,mse
c_15486,5.271856831473697,0.015036134049296379,0.0028521514392288935,mse
c_15527,2.480568575254363,0.012389842420816422,0.004994759082419618,mse
c_15555,12.118126067765585,0.05206131935119629,0.004296152644399389,mse
c_15570,0.1059485036760464,0.0018265070393681526,0.017239573717369096,mse
c_15604,34.53610255242694,0.012119267135858536,0.00035091588917600326,mse
c_15616,0.4262546639613014,0.0013523942325264215,0.003172737677420937,mse
c_15630,1.7667964729056662,0.0006220457144081593,0.00035207547895154296,mse
c_15640,1.7970619688790066,0.005023269914090633,0.0027952680547928517,mse
c_15642,0.6693705691767586,0.0017691487446427345,0.002643003481343024,mse
c_15647,0.8911084218877927,0.0077235037460923195,0.008667299686978892,mse
c_15794,0.009980900675193716,0.00023238055291585624,0.02328252333914204,mse
c_15856,2.4136885863364945,0.013693153858184814,0.005673123672912724,mse
c_16008,10.931866000105774,0.001513292663730681,0.0001384294926150795,mse
c_16048,1.2773327147183897,0.005477931350469589,0.004288570461985932,mse
c_10032,0.39099028703312433,0.29524242877960205,0.7551144838403349,da_mse
c_10034,1.9379008195652168,0.31652143597602844,0.16333211317132448,da_mse
c_10089,0.5521655684024986,0.3921999931335449,0.7102941863402328,da_mse
c_10132,3.5017783191523764,0.5250096917152405,0.14992659268115002,da_mse
c_1016,0.13878178768449406,0.21231944859027863,1.5298797640001927,da_mse
c_10306,1.2524947054889028,0.3850492835044861,0.30742587718499353,da_mse
c_10312,0.015237315054447254,0.1748666614294052,11.476212233228557,da_mse
c_10382,0.9378575125819919,0.3289381265640259,0.3507335838878495,da_mse
c_10393,0.5156813215398225,0.2632501423358917,0.5104899699485484,da_mse
c_10641,0.12438458620476314,0.1873614490032196,1.5063076118996233,da_mse
c_10695,2.8461008447934573,0.4109707176685333,0.14439780600899882,da_mse
c_10733,1.9046975239870831,0.3672565221786499,0.19281619131308353,da_mse
c_10878,1.1552571275881078,0.331827312707901,0.2872324305851068,da_mse
c_10898,2.729065126679587,0.38137590885162354,0.13974599034785143,da_mse
c_11013,0.7652527933684632,0.264026403427124,0.3450185425197101,da_mse
c_11087,1.6131661375890105,0.47979187965393066,0.2974224839426726,da_mse
c_11203,0.6190071147328527,0.20231056213378906,0.3268307541523186,da_mse
c_11307,6.541823565633029,0.4248058795928955,0.0649369209259297,da_mse
c_11327,0.8380746350218379,0.38841331005096436,0.4634590928060284,da_mse
c_11461,0.24298238216560833,0.20910310745239258,0.8605690074676903,da_mse
c_11735,1.4772035217690083,0.20109683275222778,0.13613346420363698,da_mse
c_11752,1.4272658658373696,0.4206790328025818,0.29474468833861694,da_mse
c_1181,1.3651453923418577,0.25032031536102295,0.18336531534681993,da_mse
c_1186,0.35424342734540176,0.22508670389652252,0.6354012143097685,da_mse
c_11996,0.6413927937371836,0.2729624807834625,0.4255777168823498,da_mse
c_12060,5.418800980461531,0.49084019660949707,0.09058096032301433,da_mse
c_12158,0.3382156351033798,0.2837068736553192,0.8388342944837565,da_mse
c_12164,0.5326352925266012,0.23200085759162903,0.4355716957678734,da_mse
c_12174,2.1388209877196376,0.45143646001815796,0.21106790264830405,da_mse
c_12189,0.1371685825573984,0.14318957924842834,1.0438948670225594,da_mse
c_12193,1.5934811308475694,0.38971930742263794,0.2445710211926683,da_mse
c_12231,9.847329495090225,0.3784038722515106,0.03842705501427355,da_mse
c_12237,14.233723558647165,0.38472241163253784,0.027028936598871497,da_mse
c_12441,0.2693140756092773,0.16379380226135254,0.6081887918067295,da_mse
c_12517,0.5576131887410888,0.28023868799209595,0.5025682563656444,da_mse
c_12624,0.6835978090517383,0.34688717126846313,0.5074433631518689,da_mse
c_12767,1.5250614880397186,0.47445762157440186,0.3111072080013374,da_mse
c_12858,0.2880753191450708,0.23718586564064026,0.8233467078837,da_mse
c_1286,1.8896303621708679,0.3273888826370239,0.17325551557126181,da_mse
c_12971,1.8832374032135957,0.2849838435649872,0.1513265630125468,da_mse
c_12974,1.7729547085162918,0.5046217441558838,0.2846219036120667,da_mse
c_12993,0.7524637126553275,0.31572359800338745,0.4195864766544661,da_mse
c_12999,0.4809003633963007,0.2621685564517975,0.5451619013141594,da_mse
c_13020,0.8119859311309859,0.3425899147987366,0.42191607226686234,da_mse
c_13044,2.6363319273695445,0.5078439116477966,0.19263276614584285,da_mse
c_13083,1.3766712753710144,0.4651848077774048,0.3379055088165742,da_mse
c_13166,0.5723482451265123,0.2054983526468277,0.3590442608964481,da_mse
c_13170,0.7402773076511735,0.2877683639526367,0.3887304946111305,da_mse
c_13229,8.201256268029537,0.4442111551761627,0.05416379401626605,da_mse
c_13269,2.7595966475527316,0.5662869215011597,0.20520641014814786,da_mse
c_13308,0.02224524013626291,0.18831801414489746,8.465541976232132,da_mse
c_13389,1.9607876813918623,0.275392085313797,0.14044972228625505,da_mse
c_13403,0.44573640627523414,0.27966779470443726,0.6274286568635083,da_mse
c_13441,0.35981545115825586,0.2153545469045639,0.5985138943070167,da_mse
c_13607,8.442144671781552,0.2434747815132141,0.028840394352284117,da_mse
c_13615,0.42446796715230495,0.36164170503616333,0.8519882135332048,da_mse
c_13658,20.580642506539625,0.39463722705841064,0.019175165543690496,da_mse
c_13690,0.2643249030481928,0.1928163766860962,0.7294673126237414,da_mse
c_1379,0.746684953427537,0.2554504871368408,0.34211280937728356,da_mse
c_1387,0.03820834517217304,0.09865502268075943,2.582028146893141,da_mse
c_13873,25.08732867861826,0.35600996017456055,0.01419082775751988,da_mse
c_14106,2.830035511796115,0.08373426645994186,0.029587708744615342,da_mse
c_14135,1.108952487857377,0.3064120411872864,0.2763076367494422,da_mse
c_14296,3.2187424558136373,0.14444708824157715,0.04487687046246254,da_mse
c_14363,5.406175263340151,0.36501896381378174,0.06751889201391863,da_mse
c_14388,0.06297370376882483,0.21802487969398499,3.462157482341357,da_mse
c_14396,1.4962427119122035,0.4889217019081116,0.3267663047015065,da_mse
c_14413,2.8988021105503194,0.35582903027534485,0.12275036953377716,da_mse
c_14416,6.756266467561591,0.41668644547462463,0.06167406917344562,da_mse
c_14417,0.4120205239244098,0.12182026356458664,0.2956655226887097,da_mse
c_14435,0.031232384767242327,0.19613653421401978,6.279909000728468,da_mse
c_14471,0.23136355160810557,0.163844496011734,0.7081690044647201,da_mse
c_14820,0.9331661194343139,0.5459519028663635,0.5850532841862283,da_mse
c_14855,0.2832365942308446,0.21681658923625946,0.7654963858926674,da_mse
c_14886,0.21334954649610666,0.2741434574127197,1.2849498014645298,da_mse
c_1494,0.610152169297771,0.2770402431488037,0.45405106642110526,da_mse
c_14964,3.225081905424556,0.3869383931159973,0.11997785000907131,da_mse
c_15030,3.896594137196065,0.2763698101043701,0.07092599341209346,da_mse
c_15035,15.706969348847208,0.21797628700733185,0.01387767952977701,da_mse
c_15072,3.1006411944345493,0.39870014786720276,0.128586354520105,da_mse
c_15179,1.26584326227984,0.4312041997909546,0.34064580713913717,da_mse
c_15235,0.1579103379357396,0.19836261868476868,1.256172466463157,da_mse
c_15282,3.5956912152119633,0.46445518732070923,0.12916993132107144,da_mse
c_15420,5.306758316913861,0.6020663976669312,0.11345276376126022,da_mse
c_15446,0.8105430166954322,0.17095234990119934,0.2109108910692596,da_mse
c_15486,5.271856831473697,0.5011187791824341,0.0950554605714418,da_mse
c_15527,2.480568575254363,0.44635915756225586,0.1799422769501485,da_mse
c_15555,12.118126067765585,0.6080337762832642,0.05017556121161704,da_mse
c_15570,0.1059485036760464,0.20435631275177002,1.928826794728696,da_mse
c_15604,34.53610255242694,0.35124701261520386,0.010170429974893645,da_mse
c_15616,0.4262546639613014,0.15355205535888672,0.36023548442118003,da_mse
