variant_id,input_window,n_sequences,n_train_sequences,training_seconds,best_epoch,epochs_run,mean_per_container_sequences,mean_day1_mae,mean_forecast_pearson_r
g96,96,41650,33320,177.45836287501152,25,35,421.7070707070707,1.9242406355693225,0.415500244816224
g192,192,32146,25716,107.39743274997454,7,17,325.7070707070707,2.2549448980192537,0.27776181250853965
g288,288,22642,18113,284.7665681250219,36,46,229.7070707070707,2.0993443744119133,0.3773027670159756
