horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
1,0.02374106892271477,0.02374106892271477,,0.0,0.0,,c_10032
4,0.04366061258868292,0.05461984299015653,-0.017249886839671547,0.05415475835223231,0.0013950169086456299,0.025759821502151083,c_10032
12,0.033202828883870585,0.04182990199738734,-0.06486469906895476,0.04053588246269994,0.0017527914606034756,0.04324049099501777,c_10032
24,0.04459349591264827,0.052326253632049714,-0.21736955421274984,0.04742511841276351,0.0015656090108677745,0.03301223198309237,c_10032
48,0.043908816957511476,0.05149009665590752,-0.2235203062968807,0.04654983182372907,0.0013219830580055714,0.028399309003124738,c_10032
96,0.05188898412909756,0.06389269639865959,-0.028565893115347185,0.06299921776343763,0.001309812068939209,0.020790925910501933,c_10032
1,0.13073200396914197,0.13073200396914197,,0.0,0.0,,c_10034
4,0.19979081055461662,0.20416382086067167,-40.59076224742399,0.03165777184555764,0.010449116118252277,0.33006479954521956,c_10034
12,0.20786462839475375,0.2100136031221236,-77.82414923831529,0.023654718274032937,0.008365054614841938,0.35363154690473364,c_10034
24,0.2010015809854628,0.20343485610322748,-48.45188523918503,0.028929034519932714,0.007957208901643753,0.2750596082341106,c_10034
48,0.1604131867572046,0.17049790192019795,-6.456774283471358,0.062437217488051436,0.008664860390126705,0.13877717071208198,c_10034
96,0.12341613776208261,0.13865915846815077,-0.08568941622906578,0.13307478035605072,0.008062132634222507,0.060583475040512695,c_10034
1,0.024422023395193615,0.024422023395193615,,0.0,0.0,,c_10089
4,0.031393714725154814,0.03636267354567119,-0.6191823976246258,0.02857642656459682,0.0008778918418101966,0.030720840474078453,c_10089
12,0.04544318942653395,0.05209418823575359,-0.04108924490880872,0.05105582461552996,0.0013523035449907184,0.02648676336488707,c_10089
24,0.060731905753075834,0.09215812116982296,-0.2409178144763533,0.08272982440833422,0.001513744588010013,0.01829744712787663,c_10089
48,0.061692188018762445,0.08570468726762953,-0.2080049724513664,0.07797766270714179,0.0018564630299806595,0.023807625998651924,c_10089
96,0.05608930898941684,0.07575397319785519,-0.11645033084345302,0.07169447891476498,0.0016961320070549846,0.02365777717795335,c_10089
1,0.3511739792642254,0.3511739792642254,,0.0,0.0,,c_10132
4,0.2716688768491662,0.2999985303707614,-4.761557918684333,0.12498248666603785,0.00850393995642662,0.06804105265683949,c_10132
12,0.1882706003642334,0.22556111669216347,-0.10102912413665477,0.21496355341671938,0.01572125032544136,0.07313449222233873,c_10132
24,0.20764713089170592,0.24843735941499157,-0.19811774159842033,0.22696931920031777,0.011908887885510921,0.05246915278007429,c_10132
48,0.1748849366659534,0.220013115609681,-0.05848941448989886,0.21384805841754503,0.010711334645748138,0.050088528860214955,c_10132
96,0.15603255572474758,0.19292790250091005,-0.030657660669789477,0.19003685080271865,0.009309005923569202,0.048985267248156425,c_10132
1,0.009637026648740138,0.009637026648740138,,0.0,0.0,,c_1016
4,0.03034533613655383,0.03790759135072629,-0.4536121461671836,0.03144140310319653,0.0003424441965762526,0.01089150491955741,c_1016
12,0.031568726134776064,0.03960911993701226,-0.08829454290509542,0.03796837124542303,0.0016649625031277537,0.04385130171546297,c_1016
24,0.024082084253277142,0.03313211036575128,-0.054197664961464165,0.03226919076031315,0.0013403960037976503,0.04153794911541943,c_1016
48,0.023089171460060676,0.033990958250450086,-0.03837330670991723,0.033356974309044295,0.0012035761028528214,0.03608169289282595,c_1016
96,0.02624305300764947,0.038142636760526996,-0.009917107787620338,0.037954899649077126,0.0012195619056001306,0.03213187011099855,c_1016
1,0.15932388183892454,0.15932388183892454,,0.0,0.0,,c_10306
4,0.07886276478141288,0.1102853407086615,-1.297505258301673,0.07275947088986824,0.005453917663544416,0.07495818203240776,c_10306
12,0.08161959988948064,0.10111037143075735,-0.35596665650841564,0.08683027983141892,0.005865873768925667,0.06755562437797352,c_10306
24,0.09009240682423823,0.1081469105858055,-0.08168674460696734,0.10398324436651984,0.005343871656805277,0.051391661121566984,c_10306
48,0.0938802889660238,0.10970479858329804,-0.016203995360903223,0.10882662865996756,0.004001638852059841,0.03677076926239345,c_10306
96,0.09919200724761186,0.11404081801087446,-0.003349428683348865,0.11385031065216984,0.004438492003828287,0.03898533063637007,c_10306
1,0.01997811524484033,0.01997811524484033,,0.0,0.0,,c_10312
4,0.011999108741259992,0.013659488940036425,-0.9003100579260146,0.009908826344948737,0.00035059082438237965,0.03538167005632325,c_10312
12,0.016647497773708626,0.01871472687546412,0.07175282180653342,0.019424581668434412,0.001462859334424138,0.07530969569354139,c_10312
24,0.01328343499059717,0.0157149731689449,-0.0715343117575411,0.01518135733684262,0.0012199744815006852,0.0803600399115836,c_10312
48,0.010130357025517596,0.01306562770209841,-0.13702201561922278,0.012253096170055908,0.0011776572791859508,0.09611099617939074,c_10312
96,0.00964124682580098,0.0126850087038327,-0.12280009996853858,0.011971251317778264,0.0011789272539317608,0.0984798683643839,c_10312
1,0.10435455478670752,0.10435455478670752,,0.0,0.0,,c_10382
4,0.04721121049711231,0.05860366682046381,-0.32412261566864853,0.05092847700352872,0.0008423309773206711,0.016539488845549177,c_10382
12,0.04981640153088601,0.05709823753694684,0.1171504995889614,0.060768618764824756,0.007160156033933163,0.11782653908332272,c_10382
24,0.04823449910489772,0.05548288735352265,0.10376863209201825,0.05860693154562338,0.00668360898271203,0.11404127133851193,c_10382
48,0.05146405227694221,0.060527453096391785,0.05388465298878664,0.062227213823168974,0.005514030810445547,0.08861124372553084,c_10382
96,0.06836666608277832,0.09737295072710704,0.011184391810572736,0.09792209000249842,0.005853187758475542,0.05977392596835098,c_10382
1,0.03840798909081011,0.03840798909081011,,0.0,0.0,,c_10393
4,0.053569850271953906,0.05847912132894564,-5.3817456706598685,0.023148939097563086,0.0014216016279533505,0.061411091971078885,c_10393
12,0.0762660304618848,0.08683642055026944,0.026129171203471913,0.08799363013028773,0.00450530182570219,0.051200317784723934,c_10393
24,0.0759387723032508,0.0905006439472297,0.03761963966412529,0.09225253173884203,0.0041466206312179565,0.04494858355710646,c_10393
48,0.06484187412880475,0.07730075358538781,0.027263629665019495,0.07837655143125374,0.0034009814262390137,0.04339284344785327,c_10393
