container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_10032,0.3560785925560938,0.4384518562098931,0.8430470761008153,0.9243553581658044,0.3057025425342261,0.35176316887514003,0.05188898412909756,0.06389269639865959,-0.08880922379079359,-0.028565893115347185,0.06299921776343763,0.001309812068939209,0.020790925910501933
c_10034,3.808271586683199,4.278627925025669,,,3.808271586683199,4.278627925025669,0.12341613776208261,0.13865915846815077,0.5130982010125879,-0.08568941622906578,0.13307478035605072,0.008062132634222507,0.060583475040512695
c_10089,0.8236493860808011,1.1124172260593865,1.3541229743294072,1.8197606788311096,0.6927533058636127,0.8518754749241962,0.05608930898941684,0.07575397319785519,0.07148706818820777,-0.11645033084345302,0.07169447891476498,0.0016961320070549846,0.02365777717795335
c_10132,0.6241347777739606,0.7717172419210956,1.6113594883855682,1.6667278125843956,0.5343870768092691,0.6301939395930048,0.15603255572474758,0.19292790250091005,-0.1763479208890884,-0.030657660669789477,0.19003685080271865,0.009309005923569202,0.048985267248156425
c_1016,0.3642895650612328,0.5294721064554031,1.3943828498352602,1.5168200269732295,0.27064472099086656,0.3109144202545995,0.02624305300764947,0.038142636760526996,-0.09289662411027533,-0.009917107787620338,0.037954899649077126,0.0012195619056001306,0.03213187011099855
c_10306,0.34717202536664155,0.39914286303806057,0.5086228095724704,0.5258508514428897,0.29917314357571956,0.35280386205090386,0.09919200724761186,0.11404081801087446,0.05732401549982539,-0.003349428683348865,0.11385031065216984,0.004438492003828287,0.03898533063637007
c_10312,0.3388750008342471,0.4458585505341644,0.6261761836918293,0.6930289091118177,0.24835545007089926,0.3318106560299407,0.00964124682580098,0.0126850087038327,0.015344763580516053,-0.12280009996853858,0.011971251317778264,0.0011789272539317608,0.0984798683643839
c_10382,0.5564517955429061,0.7925405226547756,1.308449127977996,1.6759862408876431,0.4591344936983652,0.5881310119022527,0.06836666608277832,0.09737295072710704,0.267516994413585,0.011184391810572736,0.09792209000249842,0.005853187758475542,0.05977392596835098
c_10393,1.2960330136510598,1.5788860594403573,2.6184886799057265,2.694881992549764,1.1592272550729907,1.4140310582471152,0.059183597126488074,0.07210013592732835,0.3479841253062945,0.031718172525780686,0.07327151863729381,0.0036479802802205086,0.04978715260807705
c_10641,0.5907976016328887,0.7551671739011087,0.9891501989470287,1.1059207923730148,0.35178604324440477,0.4226197551685029,0.028023214694331566,0.03581973214829029,0.15944021794252608,-0.31470860760737307,0.031239752235556747,0.001651219790801406,0.05285636641259931
c_10695,0.6265305410365155,0.88930903025551,1.5881996440662696,1.7412242853329476,0.37345972444973824,0.4484818351006524,0.12111559427784568,0.17191371312539608,0.07400626534446514,-0.16319827878297932,0.1593982852906902,0.011434344574809074,0.0717344264648555
c_10733,1.7880690138593254,2.251300183030348,1.7327040281767365,2.386471864839171,1.8243426251686077,2.1581538199444905,0.11197049958189269,0.14097845455004712,0.017858400795571452,-0.048406369706737395,0.13768540929770545,0.004190576262772083,0.030435877586064013
