container_id,baseline,residual_mae,residual_rmse,residual_pearson_r,residual_r2,residual_std_ratio,day1_mae,day1_rmse,day1_mape,peak_mae,non_peak_mae
c_10032,gru,0.05188898412909756,0.06389269639865959,-0.08880922379079359,-0.028565893115347185,0.020790925910501933,0.35586980986777145,0.43800532195614966,10.582517342131144,0.840701407481078,0.3057148170112224
c_10032,zero,0.05186265466250425,0.0638219786637118,,-0.026290277890514968,5.378053743047498e-20,0.3558490799657718,0.4379468410394991,10.583505672176425,0.8402802373392727,0.3057355119616165
c_10032,persistence,0.0496048915909541,0.06312988530434537,,-0.004152529355762269,0.0,0.3535338904198942,0.43700561995282466,10.495475517434778,0.8464354277261502,0.3025440762157987
c_10032,ridge,0.05489148735341109,0.06549530702050577,0.046237725924268,-0.08081173288138999,0.22051682693057695,0.3584379638585859,0.4382293807898629,10.668294725746609,0.8323174553030057,0.30941594750226664
c_10034,gru,0.12341613776208261,0.13865915846815077,0.5130982010125879,-0.08568941622906578,0.060583475040512695,3.88708333752196,4.380553675761082,72.48099523786232,,3.88708333752196
c_10034,zero,0.126061034418656,0.14208646030967542,,-0.1400236848836105,2.5460359806358664e-20,3.8897677814733815,4.384164571350694,72.56468136584266,,3.8897677814733815
c_10034,persistence,0.13901160900915802,0.17292610874352013,,-0.6886110300091872,2.0857126753369018e-16,3.859725568661387,4.330632518831189,73.89491121898489,,3.859725568661387
c_10034,ridge,0.12548522087607147,0.13960135795463066,0.2040909850899864,-0.1004942294939215,0.10417128165361736,3.8884377879614007,4.381038957649224,72.61233309294542,,3.8884377879614007
c_10089,gru,0.05608930898941684,0.07575397319785519,0.07148706818820777,-0.11645033084345302,0.02365777717795335,0.8218049570288243,1.1135785532995142,8.165270427652349,1.3369295107770391,0.6946963009091348
c_10089,zero,0.0559505471502986,0.07583326615621848,,-0.11878876873723132,4.725791776860853e-20,0.8216837162411165,1.1136754800285373,8.164652838191575,1.3356542732370063,0.6948598125668061
c_10089,persistence,0.07594970439605636,0.09915141737830933,,-0.912610028296114,0.0,0.8327960055682712,1.1287102682678034,8.211761448017125,1.3748259830577734,0.6990483487851473
c_10089,ridge,0.054577065594017794,0.07342388512624941,0.36820608155140283,-0.04882564207732365,0.22313859711365952,0.8188995776654554,1.1096140019103307,8.122018934391544,1.3394235372016636,0.6904586006370401
c_10132,gru,0.15603255572474758,0.19292790250091005,-0.1763479208890884,-0.030657660669789477,0.048985267248156425,0.618961380197684,0.7657371023427644,21.940195875188515,1.5872458244698873,0.5309355216274837
c_10132,zero,0.1543259877540167,0.19098705775767078,,-0.010025240105479227,1.7828814646768137e-20,0.6173058256081734,0.7639600985032666,21.895979864428927,1.579186971195286,0.529862085100254
c_10132,persistence,0.20294490723893732,0.27003133179758076,,-1.0190760020322855,0.0,0.6227737752978452,0.7998920464274971,20.7764102779778,1.7520001782797814,0.5201168295722147
c_10132,ridge,0.15165159014660554,0.18909439126731598,0.12455491810473243,0.009894107773207095,0.11967545176762978,0.6135930340681035,0.7610097005399438,21.78083357062287,1.5697388160081391,0.5266706902553729
c_1016,gru,0.02624305300764947,0.038142636760526996,-0.09289662411027533,-0.009917107787620338,0.03213187011099855,0.3658274882650425,0.527894783332372,15.251026431354777,1.3866799490014796,0.27302271910718456
