container_id,original_identity_holds,corrected_z_identity_holds,rra_sign,rra_original_space,corrected_space,orig_n_points,orig_max_abs_identity_error,orig_identity_holds,orig_mean_prophet,orig_mean_ridge_pred,orig_mean_remaining
c_12624,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.005074734376629579,0.003775546156867764,-0.008850280533497342
c_12767,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.017929550710629245,-0.006265366038098487,0.024194916748727736
c_12858,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.011588725451293044,-0.016261239586600584,0.027849965037893634
c_1286,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.011869849180870945,-0.010840895792819268,0.022710744973690206
c_12971,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.012107436441993333,0.019146977179653177,-0.007039540737659848
c_12974,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.03353965774578122,-0.060012261316655324,0.09355191906243653
c_12993,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.025232281385665512,-0.019497819238834483,-0.005734462146831033
c_12999,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.00675503120053308,-0.013094250777037696,0.006339219576504618
c_13020,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.08048801997965606,-0.014254563450722608,0.09474258343037868
c_13044,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.00789240796793812,-0.011249918540946223,0.003357510573008097
