prophet_raw_std,ridge_pred_z_std,ridge_pred_unzscored_std,rra_subtraction_space_mismatch,mean_abs_diff_raw_vs_z_pred,mean_abs_diff_raw_vs_unzscored_pred,scale_ratio_z_to_raw_std,container_id
0.11085980909099694,0.10089111807411762,0.01114104618240881,True,0.14426921530028633,0.1033468945725546,0.9100784035385021,c_10032
0.11373030688677728,0.10031456804780649,0.011077379820173806,True,0.11196789437447977,0.10196898448635773,0.8820390166332124,c_10034
0.06744895422158871,0.11575646122197211,0.012782572985649658,True,0.09628148140636851,0.05238304115819074,1.71620839133665,c_10089
0.19101200317965744,0.1667735289285967,0.018416205740051587,True,0.18753562951496797,0.15362777535699912,0.8731049680251607,c_10132
0.03380323316856684,0.05616213937890582,0.006201784661198905,True,0.0449052864333106,0.023679542576310754,1.661442830005096,c_1016
0.11383051448120142,0.11224895839494396,0.012395251963474616,True,0.13527688591844883,0.09810254585180989,0.9861060446448334,c_10306
0.01400825181742454,0.03144916101319878,0.003472818637896958,True,0.02702234768740301,0.01140658817694262,2.245045379187137,c_10312
0.08602970003283707,0.12436732384779321,0.013733439821263224,True,0.09776301563801097,0.06146114585959856,1.4456324246199033,c_10382
0.08983005813305207,0.08906594859313499,0.009835234909649843,True,0.10297191539064478,0.07622235505770524,0.9914938322895738,c_10393
0.03414350472580425,0.037666014194122355,0.004159323552502449,True,0.049307722122454274,0.03347544910702061,1.103167776612456,c_10641
0.15038521349631762,0.14428917095763336,0.015933338315068848,True,0.15204132758136557,0.11580531327555682,0.9594638169740436,c_10695
0.14386820811372775,0.1869056462909783,0.0206393236275865,True,0.200097965330624,0.12140624806954496,1.2991448822607805,c_10733
0.11680106683151806,0.10760489065579688,0.011882424133396822,True,0.1064120112399515,0.08461188411039824,0.9212663340739312,c_10878
0.16665316040839231,0.14019005841435575,0.015480687942832933,True,0.17232828412619258,0.13346012537291788,0.8412085199633338,c_10898
0.08717886768343594,0.10483421936231589,0.011576468788405308,True,0.1111561286958917,0.07063177329075179,1.2025187083524655,c_11013
0.13177937313987304,0.1981924182881373,0.021885681587246436,True,0.17260272565423898,0.07796746751929283,1.5039714757010738,c_11087
0.07579062197134241,0.09278393245981197,0.010245798602022339,True,0.08104219607095585,0.05232478053234361,1.2242138941001828,c_11203
0.2309251422510133,0.20734352663264258,0.022896205829940054,True,0.20110866366960398,0.141550776433745,0.8978819915904275,c_11307
0.08689415285474,0.1021525441194241,0.011280340959736271,True,0.09793340951476967,0.07022455656940511,1.1755974454367646,c_11327
0.05259587869351938,0.10091433312488934,0.011143609737632619,True,0.07890404708136972,0.037970229856251175,1.9186737750485294,c_11461
0.08937245578122349,0.04516804387999574,0.004987745922950525,True,0.07600983509252185,0.05410869551809966,0.5053911016002899,c_11735
0.11034678087693431,0.1380303316011157,0.01524219701690209,True,0.14091612311172746,0.09251463449007424,1.2508777374761464,c_11752
0.13688709753802547,0.10823278927681772,0.011951760737730266,True,0.11671781744714199,0.08696912839461785,0.7906719568420394,c_1181
0.058833990420429826,0.153954284482046,0.01700062231577346,True,0.10531454321687511,0.04289296849753052,2.616757479509432,c_1186
0.08548996449908948,0.11817886093855373,0.013050069943061347,True,0.09446543756350329,0.0637219993607192,1.3823711546846227,c_11996
0.23739325957405147,0.24320631295293968,0.026856405362378263,True,0.24024837403927773,0.14411631274225778,1.0244870195106568,c_12060
0.05806044839593136,0.08618667812196561,0.009517287344955612,True,0.06238067238615313,0.04688724513179742,1.4844301155622013,c_12158
0.07402495055553099,0.07917991019454675,0.008743554963365317,True,0.0748167340289294,0.05725936636812146,1.0696381368758725,c_12164
0.14231668017910043,0.13788526683763314,0.015226178032671862,True,0.16985785461066588,0.11645721997418491,0.9688623052765809,c_12174
0.037754175773514254,0.03936075744577176,0.004346468002820475,True,0.04988279454678512,0.03147804624498126,1.0425537477468805,c_12189
0.1267769715451006,0.1382441585282881,0.015265809161520413,True,0.1490358304719858,0.097564798095,1.090451655718153,c_12193
0.2759725507875462,0.2900714258654012,0.032031552563323816,True,0.3851707691952422,0.2568877220992991,1.0510879616020539,c_12231
0.2836708535609303,0.25569313877640915,0.02823528098420227,True,0.511879280949718,0.42330439325133556,0.9013726139526994,c_12237
0.040375659163080474,0.0379280151876167,0.004188255387376289,True,0.04743151048466479,0.02760866140674813,0.9393782287100864,c_12441
0.06873264579758935,0.17005437543867308,0.018778497913871126,True,0.1347387774734626,0.06634989983023956,2.4741427230877435,c_12517
0.08511470562989042,0.12768206459038045,0.01409947481424196,True,0.1034199287819978,0.05904254830431348,1.5001175607137542,c_12624
0.1271403747174266,0.16007854098948482,0.017676902110117385,True,0.1622629886931207,0.1071545826958292,1.2590692873547393,c_12767
0.07454282805282149,0.0770149970454721,0.008504491328873471,True,0.0772408538483996,0.04938646856932961,1.0331644110805511,c_12858
0.18407174760069178,0.2308352205948169,0.025490309774187453,True,0.21093220282954744,0.11501768058733801,1.2540502472740656,c_1286
0.12930489803391051,0.10002502448575228,0.011045406557727698,True,0.10565292485533762,0.09036650416784452,0.773559439794156,c_12971
0.13029321807729274,0.13092805813557454,0.014457918299507346,True,0.15626124247715747,0.10896839661862069,1.0048723952608585,c_12974
0.10616167756231742,0.14687952945158556,0.016219382360976985,True,0.12699888111335986,0.08648138545496353,1.3835456713216174,c_12993
0.07876740920107449,0.12367891002516734,0.01365742073913898,True,0.09991400209330706,0.05660663723379919,1.5701787234037934,c_12999
0.09448736694177116,0.13648470040079275,0.01507151847836989,True,0.1509770412219447,0.10043561610303212,1.4444756459866521,c_13020
0.15904615438435302,0.1660032644584543,0.01833114818297089,True,0.17087404709282494,0.12635795098068103,1.0437427116740505,c_13044
0.135112334109291,0.10690512214475939,0.011805151193545594,True,0.14195756753317673,0.11779092219661484,0.7912314064405469,c_13083
0.07253478134952414,0.11817438076557252,0.0130495752135446,True,0.11376269322352206,0.07493023492720909,1.6292098572149043,c_13166
0.07146088962552306,0.11088407798011755,0.012244533089253442,True,0.10854202947724229,0.07019526345355262,1.5516750289729677,c_13170
0.23615829651727596,0.1265456686389085,0.013973986664060592,True,0.16296206147339273,0.13116898355460693,0.5358510393457685,c_13229
0.19561238138017212,0.15389261021689343,0.016993811846730718,True,0.19598263457415832,0.15278287681610953,0.786722236757619,c_13269
0.004470002320939894,0.09000391919455443,0.009938811656420347,True,0.06219174242672801,0.015552238679699824,20.13509451056159,c_13308
0.11875385469512796,0.20828420373850423,0.023000081446339117,True,0.20330690721263026,0.1348639584122127,1.7539153088817534,c_13389
0.06209599532266839,0.11541697891636131,0.0127450851659375,True,0.10352266617560517,0.05424579764767724,1.8586863503293887,c_13403
0.07816372374723594,0.08496436928303677,0.009382312141155523,True,0.0958293544632495,0.06323485894870044,1.087005137546832,c_13441
0.2153281344248008,0.058875887779972595,0.006501454214285948,True,0.15406772386230014,0.10549328672359853,0.27342403693435546,c_13607
0.04916731009014109,0.166498044287643,0.018385784954099402,True,0.14143197987620315,0.06581628697696884,3.3863565849421726,c_13615
0.35823536287173185,0.12833350136715255,0.014171410653129242,True,0.23135555118181345,0.16362686460154904,0.3582379481980484,c_13658
0.07643403323279022,0.08585613993979675,0.009480787192881892,True,0.06889105756571098,0.03153116491121428,1.1232710915347124,c_13690
