container_id,day1_mae,day1_rmse,day1_mape,forecast_mae_scaled,forecast_rmse_scaled,forecast_pearson_r,forecast_r2,forecast_std_ratio,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_ratio,train_steps,validation_steps,input_window,variant_id
c_10032,0.6666789750258127,0.8092014943920439,19.156921706591586,0.09876725365074328,0.11988169966035446,0.22319077164122397,-2.3645670767830644,0.6633861659353862,0.09876725365074328,0.11988169966035446,0.22319077164122397,-2.3645670767830644,0.6633861659353862,614,154,288,g288
c_10034,3.077703162575037,3.9096525476777466,46.507259234486504,0.10090829722550639,0.12818533106972588,0.9134165676806265,-0.2441646291065691,1.7038677037197798,0.10090829722550639,0.12818533106972588,0.9134165676806265,-0.2441646291065691,1.7038677037197798,613,154,288,g288
c_10089,1.1790538577017962,1.534708007450351,11.543061083027155,0.08421812731016269,0.10962199546054865,0.9068267099055649,0.6921197908057878,0.9333406556510021,0.08421812731016269,0.10962199546054865,0.9068267099055649,0.6921197908057878,0.9333406556510021,614,154,288,g288
c_10132,0.6412672415375709,0.7801747790548962,24.09408351704365,0.16031681053961314,0.195043693449184,-0.05225324522592102,-0.08599501796929698,0.20454585851399343,0.16031681053961314,0.195043693449184,-0.05225324522592102,-0.08599501796929698,0.20454585851399343,611,153,288,g288
c_1016,0.40918350319067637,0.5840028623969663,17.201921187612612,0.02922739389441198,0.04171449047325996,-0.015505469116702492,-0.42493167596532344,0.6329161948489673,0.02922739389441198,0.04171449047325996,-0.015505469116702492,-0.42493167596532344,0.6329161948489673,614,154,288,g288
c_10306,0.35076929075229496,0.41847415848433894,1192.4759787748997,0.10021979743540876,0.11956404548451363,0.11055595770878915,-0.11547282089478772,0.4289326681177082,0.10021979743540876,0.11956404548451363,0.11055595770878915,-0.11547282089478772,0.4289326681177082,614,154,288,g288
c_10312,0.46520579060436124,0.5761000500435441,38.645754804715565,0.01329159452173386,0.016460001789513,0.14657615299192275,-1.8709221731578713,1.5209393460263272,0.01329159452173386,0.016460001789513,0.14657615299192275,-1.8709221731578713,1.5209393460263272,614,154,288,g288
c_10382,0.6101142537262705,0.8370574191022071,15.558085552681291,0.07626428086207145,0.1046321772490775,0.4683193751765057,0.1075608934225466,0.5931260658350452,0.07626428086207145,0.1046321772490775,0.4683193751765057,0.1075608934225466,0.5931260658350452,614,154,288,g288
c_10393,1.6788475984224567,2.174142302603572,13.336850648574186,0.0799451212287015,0.10353058378142181,0.900119619577685,0.7862260682632769,1.0073807576287073,0.0799451212287015,0.10353058378142181,0.900119619577685,0.7862260682632769,1.0073807576287073,614,154,288,g288
c_10641,0.9219108184178669,1.2483072474127481,17.681406488264816,0.04390051256835697,0.059443199899901926,-0.13122011477065434,-1.0628762620471677,0.43069681714400426,0.04390051256835697,0.059443199899901926,-0.13122011477065434,-1.0628762620471677,0.43069681714400426,613,154,288,g288
c_10695,0.637878016796377,0.8914053007744989,20.445433551351446,0.1275756062463754,0.1782810637540586,-0.09243372514588859,-0.10576124383789054,0.15973120544945366,0.1275756062463754,0.1782810637540586,-0.09243372514588859,-0.10576124383789054,0.15973120544945366,614,154,288,g288
c_10733,2.615389015939501,3.244614170300289,6.589522958109502,0.1634618166006274,0.20278838954067333,0.33697472827917585,-1.0205089016163562,0.2813733728108555,0.1634618166006274,0.20278838954067333,0.33697472827917585,-1.0205089016163562,0.2813733728108555,611,153,288,g288
c_10878,0.43204462594456144,0.582048371963689,21.085042725102994,0.08640892292269405,0.1164096696386499,0.13672147893948144,0.006591585749041617,0.2456474265823758,0.08640892292269405,0.1164096696386499,0.13672147893948144,0.006591585749041617,0.2456474265823758,614,154,288,g288
c_10898,0.5850520470076138,0.7699288289507132,20.796226424000967,0.13001156760563634,0.17109529638099694,-0.16070890762726095,-0.0961543371048783,0.12333307868881366,0.13001156760563634,0.17109529638099694,-0.16070890762726095,-0.0961543371048783,0.12333307868881366,614,154,288,g288
c_11013,4.471847643454869,5.995073800741088,17.589577602601835,0.09937438872315128,0.13322386066026953,0.8421843188962009,0.641651645766987,0.9245326977611718,0.09937438872315128,0.13322386066026953,0.8421843188962009,0.641651645766987,0.9245326977611718,612,154,288,g288
c_11087,6.342936689241065,12.130636382142674,212.61950477152695,0.06820362112724102,0.13043695034985775,-0.05269070065453246,-0.0503276094050249,0.13897840157933716,0.06820362112724102,0.13043695034985775,-0.05269070065453246,-0.0503276094050249,0.13897840157933716,614,154,288,g288
c_11203,3.4437096648746066,4.337545999137559,18.648920843749554,0.12298963412721935,0.154912359880328,0.9040983303086623,0.5942198132950655,0.900385110935354,0.12298963412721935,0.154912359880328,0.9040983303086623,0.5942198132950655,0.900385110935354,612,154,288,g288
c_11307,2.667424178785748,4.806654533605303,20.230621720101997,0.15690730604057024,0.28274438669256513,0.4556018645721156,0.07731294688082702,0.16893903377316455,0.15690730604057024,0.28274438669256513,0.4556018645721156,0.07731294688082702,0.16893903377316455,614,154,288,g288
