container_id,day1_mae,day1_rmse,day1_mape,train_steps,validation_steps
c_10032,0.35956248005036917,0.4365867027452743,10.60227997460568,614,154
c_10034,3.638734745692608,4.072970799425118,69.28553891940957,613,154
c_10089,0.7673518107895494,1.0252255082822903,7.711878487249193,614,154
c_10132,0.6180837298363016,0.7640556170397416,21.8470091841576,611,153
c_1016,0.3365345791524434,0.5043584265306625,13.781149302931109,614,154
c_10306,0.352307882425768,0.4030254623598284,1537.727849223696,614,154
c_10312,0.3405926183332359,0.4353511114482858,25.706238504627226,614,154
c_10382,0.5545614371729621,0.7953702045180013,14.68391775431073,614,154
c_10393,1.1416038246914937,1.4920068800799744,9.973011245679213,614,154
c_10641,0.5943367518046629,0.7753207421626696,11.770983377832838,613,154
c_10695,0.6321360072796826,0.8837178369362746,19.52384324191563,614,154
c_10733,1.7630267642067385,2.2293084504740293,4.60009917663605,611,153
c_10878,0.41507394467414,0.5580448576242668,20.039492054709015,614,154
c_10898,0.5877104887144758,0.7765520509810988,20.4573661425582,614,154
c_11013,2.770320808580775,4.051474249252676,11.10032092880409,612,154
c_11087,6.505515427912975,12.220376260335177,217.51050392590165,614,154
c_11203,1.4328920875925757,2.3462011138413796,7.867485295014302,612,154
c_11307,2.612333626640139,4.437503027479266,21.555528166072655,614,154
c_11327,0.675042368367639,0.834626421126206,10.78768387690932,612,153
c_11461,1.4748538033858534,2.0534209657960116,11.981272058895664,609,153
c_11735,2.0679889097759565,4.36729006519826,15.608323397982868,613,154
c_11752,0.49180539272144513,0.606177712101952,35.68360692399921,612,153
c_1181,5.553315109622041,9.045192372975002,21.910488352046112,609,153
c_1186,0.9981881015559789,1.1910465193005864,12.866189288490126,613,154
c_11996,1.3228054206394035,1.6475651540316814,13.8405689508004,613,154
c_12060,0.13999813549405749,0.23769095975002383,545.4202681450013,614,154
c_12158,1.9205798216157552,2.322717066336163,6.775131245839922,611,153
c_12164,0.7555789031312462,0.9863888571904138,10.720207493046233,614,154
c_12174,0.5772512883444939,0.756870541251345,9.11837919816268,614,154
c_12189,0.40738549192524737,0.5199658350304729,13.543760666044388,614,154
