container_id,prophet_day1_mae,prophet_day1_rmse,prophet_day1_mape,hybrid_day1_mae,hybrid_day1_rmse,hybrid_day1_mape,hybrid_minus_prophet_mae,hybrid_minus_prophet_rmse
c_10032,0.3558407502408924,0.4379434792407202,10.583192365968138,0.358668472330622,0.44732412887992723,10.643311460271416,0.0028277220897295896,0.00938064963920704
c_10034,3.889763835814229,4.3841571990390085,72.56485607446446,3.7824590582612925,4.2270906792917,69.33317344602268,-0.10730477755293633,-0.15706651974730867
c_10089,0.8216889771199877,1.1136823420346953,8.164674789827773,0.8071894212959067,1.0918727898012655,7.921493450842323,-0.014499555824081023,-0.02180955223342984
c_10132,0.6173049487950282,0.7639621970346226,21.8957865288221,0.6207343332204981,0.7675876442866415,21.974861454272396,0.003429384425469917,0.003625447252018854
c_1016,0.36594687952843435,0.5277922341181098,15.257643109320565,0.35820426897740565,0.5203504088513206,14.888234077259668,-0.007742610551028706,-0.00744182526678927
c_10306,0.3488483175072483,0.39977936808735337,1529.6780940511878,0.3456316110612769,0.39661543298879204,1506.1325635966816,-0.00321670644597144,-0.0031639350985613324
c_10312,0.34145748477918136,0.4428176648718848,26.669927213488272,0.3193638455485275,0.41612445175172663,24.87315347869766,-0.022093639230653883,-0.026693213120158155
c_10382,0.568543670580216,0.8044813129721461,15.20637116225486,0.5412678416759419,0.7790454804092959,14.30214088687483,-0.027275828904274158,-0.025435832562850202
c_10393,1.325612659378031,1.6049806128952415,12.178954596656585,1.2543456586289154,1.5543006147462357,11.218194136845783,-0.07126700074911563,-0.05067999814900581
c_10641,0.5863939958031202,0.7588718372439857,11.635401730135136,0.6025494651894973,0.7652088017919633,12.063573416475638,0.01615546938637702,0.006336964547977608
c_10695,0.6319993132875047,0.8907005227519214,19.18055631653727,0.6245615899078174,0.8855747299806572,18.91139852274999,-0.007437723379687289,-0.005125792771264126
c_10733,1.7819164550150024,2.249355263407195,4.6653704325472525,1.78225985183554,2.2569095516138025,4.665487521793249,0.00034339682053752263,0.007554288206607307
c_10878,0.4225914820881041,0.5662235292018638,20.21811548370518,0.42531899338147783,0.5697047387240529,20.299328542469063,0.00272751129337373,0.0034812095221891104
c_10898,0.586860340504683,0.7841233799608749,20.332947949204826,0.591880465760534,0.7880525319904497,20.568238531798432,0.005020125255850938,0.003929152029574778
c_11013,2.8167547835451217,4.065831103452419,10.961797203920854,2.8471567764305044,4.063625230085931,11.36997952653637,0.0304019928853827,-0.0022058733664884755
c_11087,6.6621561963756974,12.293339061143971,706.2961966575676,6.610882635517416,12.326398686388146,692.0762476889594,-0.05127356085828172,0.033059625244174384
