band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.06502452866695915,0.06539834213284833,-71.49120712799618,0.45594430516802253,0.6409539612704156,c_11087
5-12,0.08006796983415929,0.11156570627802478,0.009998372701703562,0.48597784328916,0.03189896800365403,c_11087
13-24,0.02424317940686965,0.027146656054271863,-2.2896893209981575,0.6697476825931287,0.30028093629095376,c_11087
25-48,0.10109632715898664,0.13006608171057848,-0.2887546034257058,-0.1470638042144845,0.022057100034193325,c_11087
49-96,0.06404716723623903,0.1507146436435307,-0.004961108857583607,-0.05120483362817846,0.034482085394251114,c_11087
1-4,0.026934605730373623,0.03185106739504596,0.44075835742759173,0.982632258932923,0.37679254508341564,c_11203
5-12,0.029387472307002255,0.03584610215977626,-0.26569827517868205,0.7181930010126866,0.17791539572582613,c_11203
13-24,0.051029795749158585,0.058842835077026326,-1.240731200186021,0.3200337784406223,0.17721268423347936,c_11203
25-48,0.058476333153018735,0.08667943049742027,-0.07883171395494193,-0.2986702878978745,0.043681839853325764,c_11203
49-96,0.05170321020157579,0.08865956847321572,-0.09160798777953882,0.1158552005646106,0.1316964363951052,c_11203
1-4,0.20783896511319316,0.2579782534686789,-1.771773578021206,-0.5083204876370273,0.08974142198496976,c_11307
5-12,0.12952374981904266,0.138316671534117,-0.15077471637068407,0.6764010537107779,0.0886458693748972,c_11307
13-24,0.2263833782565812,0.2623058164724983,-0.012509815528011892,0.23063416712514898,0.041556037224523834,c_11307
25-48,0.1907240953873349,0.40100635951038505,-0.020699329366583807,0.18391639815118765,0.02298369848584834,c_11307
49-96,0.11507531259289921,0.16531136052512763,-0.01449674410763091,0.04004305282410923,0.10507378342388014,c_11307
1-4,0.027485221976861957,0.02819732759364037,-0.050699472946403645,-0.0897831386690601,0.14493589445199168,c_11327
5-12,0.07132415205163284,0.0833387530085239,-0.08653984537517179,0.6607186911660736,0.06433906582755428,c_11327
13-24,0.07601004002602138,0.08980320928636927,-1.0078249622730606,0.2736715599116366,0.09594955740953517,c_11327
25-48,0.09811089275943002,0.11426314933015624,-1.2979599485419495,0.16327643853949822,0.0705045618993752,c_11327
49-96,0.06253868485948376,0.07903684924474146,0.061821852243327036,0.33479029168915514,0.1470036621136635,c_11327
1-4,0.02501073476787491,0.03224977100956075,0.4016972581957806,0.7630608244863044,0.3624174838735926,c_11461
5-12,0.04538335119160181,0.05528261724159503,0.014719867495028294,0.4784491974957356,0.1730947354270087,c_11461
13-24,0.06631373370139856,0.08357919088578397,-0.6351796710493336,-0.26151947835559775,0.12669333868375093,c_11461
25-48,0.02578565474182345,0.03261712483331584,-0.31836959985493074,-0.021451588620200912,0.1561336281433532,c_11461
49-96,0.029193698791009682,0.0397472388487016,0.21218234508058287,0.6041770276821401,0.2957995056286563,c_11461
1-4,0.019138055504671278,0.022377526699390218,-0.07575399560117813,0.9849005657009905,0.05761271573882852,c_11735
5-12,0.007144484251893006,0.008795115033338704,0.1870100362046081,0.4411401928957726,0.52620915792015,c_11735
13-24,0.008332429378130356,0.009662546535556269,0.41990338681439277,0.8963857288814944,0.30495301060605834,c_11735
25-48,0.04338591576089823,0.050646019998726824,-2.2718530696637664,-0.2705022537165968,0.0869366525910874,c_11735
49-96,0.09068473862924305,0.17043200802320535,-0.31889397181910684,0.3734841118598432,0.03909578765378267,c_11735
1-4,0.1507265162789359,0.17305535883364775,-0.4713031192798556,0.264684957745372,0.04927524261325206,c_11752
5-12,0.10114904000199222,0.1327798451210721,-0.09661226923893973,-0.625342184407703,0.017245402391860294,c_11752
13-24,0.08275492824813924,0.09169212528727272,-3.6804659571317266,-0.3360905961144082,0.1223694942925317,c_11752
25-48,0.11383099920619566,0.147259705286193,-0.13918037138769423,-0.3589009423881093,0.029358331178066494,c_11752
49-96,0.0949927688151569,0.10960776921793038,-0.11007868620987482,-0.2804834284258544,0.06650619258215414,c_11752
