horizon,cross_container_pearson_r,mae,rmse,std_ratio
1,0.25217309290853374,0.06457544161053133,0.0933452981934809,0.284451143019067
4,0.0729097495365177,0.08169474248696296,0.1270259088982479,0.09529647976919318
12,0.05855185036366307,0.08061039137847573,0.11278026650686682,0.08082912414599669
24,-0.04157653737669077,0.09238811656671417,0.1407215509214572,0.047808421244140586
48,-0.05895413854425444,0.09252311695305011,0.13110995867207872,0.05410997340486295
96,0.2698966405397337,0.1086359354701256,0.1570958198639455,0.09625348427229519
