container_id,origin_index,ph_statistic,ph_alarm,ph_lambda
c_10032,200,0.0,False,50.0
c_10034,200,0.0,False,50.0
c_10089,200,0.0,False,50.0
c_10132,200,0.0,False,50.0
c_1016,200,0.0,False,50.0
c_10306,200,0.0,False,50.0
c_10312,200,0.0,False,50.0
c_10382,200,0.0,False,50.0
c_10393,200,0.0,False,50.0
c_10641,200,0.0,False,50.0
c_10695,200,0.0,False,50.0
c_10733,200,0.0,False,50.0
c_10878,200,0.0,False,50.0
c_10898,200,0.0,False,50.0
c_11013,200,0.0,False,50.0
c_11087,200,0.0,False,50.0
c_11203,200,0.0,False,50.0
c_11307,200,0.0,False,50.0
c_11327,200,0.0,False,50.0
c_11461,200,0.0,False,50.0
c_11735,200,0.0,False,50.0
c_11752,200,0.0,False,50.0
c_1181,200,0.0,False,50.0
c_1186,200,0.0,False,50.0
c_11996,200,0.0,False,50.0
c_12060,200,0.0,False,50.0
c_12158,200,0.0,False,50.0
c_12164,200,0.0,False,50.0
c_12174,200,0.0,False,50.0
c_12189,200,0.0,False,50.0
c_12193,200,0.0,False,50.0
c_12231,200,0.0,False,50.0
c_12237,200,0.0,False,50.0
c_12441,200,0.0,False,50.0
c_12517,200,0.0,False,50.0
c_12624,200,0.0,False,50.0
c_12767,200,0.0,False,50.0
c_12858,200,0.0,False,50.0
c_1286,200,0.0,False,50.0
c_12971,200,0.0,False,50.0
c_12974,200,0.0,False,50.0
c_12993,200,0.0,False,50.0
c_12999,200,0.0,False,50.0
c_13020,200,0.0,False,50.0
c_13044,200,0.0,False,50.0
c_13083,200,0.0,False,50.0
c_13166,200,0.0,False,50.0
c_13170,200,0.0,False,50.0
c_13229,200,0.0,False,50.0
c_13269,200,0.0,False,50.0
c_13308,200,0.0,False,50.0
c_13389,200,0.0,False,50.0
c_13403,200,0.0,False,50.0
c_13441,200,0.0,False,50.0
c_13607,200,0.0,False,50.0
c_13615,200,0.0,False,50.0
c_13658,200,0.0,False,50.0
c_13690,200,0.0,False,50.0
c_1379,200,0.0,False,50.0
c_1387,200,0.0,False,50.0
c_13873,200,0.0,False,50.0
c_14106,200,0.0,False,50.0
c_14135,200,0.0,False,50.0
c_14296,200,0.0,False,50.0
c_14363,200,0.0,False,50.0
c_14388,200,0.0,False,50.0
c_14396,200,0.0,False,50.0
c_14413,200,0.0,False,50.0
c_14416,200,0.0,False,50.0
c_14417,200,0.0,False,50.0
c_14435,200,0.0,False,50.0
c_14471,200,0.0,False,50.0
c_14820,200,0.0,False,50.0
c_14855,200,0.0,False,50.0
c_14886,200,0.0,False,50.0
c_1494,200,0.0,False,50.0
c_14964,200,0.0,False,50.0
c_15030,200,0.0,False,50.0
c_15035,200,0.0,False,50.0
c_15072,200,0.0,False,50.0
c_15179,200,0.0,False,50.0
c_15235,200,0.0,False,50.0
c_15282,200,0.0,False,50.0
