bin_center,count
-17.117360447884895,21
-16.272111553504907,26
-15.426862659124915,49
-14.581613764744926,5
-13.736364870364934,3
-12.891115975984944,2
-12.045867081604953,4
-11.200618187224963,7
-10.355369292844973,22
-9.51012039846498,18
-8.664871504084992,50
-7.819622609705001,63
-6.974373715325011,137
-6.12912482094502,203
-5.28387592656503,364
-4.43862703218504,633
-3.5933781378050496,1329
-2.7481292434250593,2767
-1.902880349045069,5291
-1.0576314546650778,8850
-0.2123825602850875,15074
0.6328663340949028,11159
1.478115228474893,5141
2.3233641228548834,2949
3.1686130172348737,1801
4.013861911614864,1257
4.859110805994854,934
5.7043597003748445,652
6.549608594754835,415
7.394857489134825,310
8.240106383514815,266
9.085355277894806,230
9.930604172274798,162
10.775853066654788,95
11.621101961034778,74
12.466350855414769,55
13.311599749794759,43
14.15684864417475,25
15.00209753855474,23
15.847346432934732,21
16.69259532731472,12
17.53784422169471,11
18.3830931160747,12
19.228342010454693,11
20.07359090483468,17
20.91883979921467,18
21.764088693594662,21
22.609337587974654,13
23.454586482354646,7
24.299835376734634,6
