container_id,hybrid_day1_mae,global_day1_mae,delta_day1_mae,hybrid_day1_rmse,global_day1_rmse,delta_day1_rmse,hybrid_day1_mape,global_day1_mape,delta_day1_mape,hybrid_train_steps,global_train_steps,hybrid_validation_steps,global_validation_steps
c_10032,0.3531221154126398,0.8135422079099549,0.4604200924973151,0.4327977328186703,1.0116342800286102,0.5788365472099399,10.397754968183348,23.879625284733574,13.481870316550227,614,614,154,154
c_10034,3.6561898548874816,6.504191973970996,2.8480021190835143,4.107339381144937,7.410873580268894,3.3035341991239573,69.09120345194393,90.60087388816775,21.50967043622383,613,613,154,154
c_10089,0.767384200123057,0.9946638299359216,0.22727962981286465,1.024064625455502,1.2764777234701137,0.25241309801461176,7.732747936443928,10.267316092417271,2.534568155973343,614,614,154,154
c_10132,0.6161709487152378,0.6645563102430767,0.0483853615278389,0.7626872448676484,0.7937106669473543,0.031023422079705876,21.675027361908448,25.84510255420785,4.1700751922994,611,611,153,153
c_1016,0.3478017208669357,0.3640375917156537,0.01623587084871797,0.5139317804109284,0.5735541347415278,0.05962235433059948,14.290074087889778,14.474371674745552,0.1842975868557737,614,614,154,154
c_10306,0.3498958781742383,0.346672213739819,-0.0032236644344192933,0.4010295572516438,0.4172344491729839,0.016204891921340114,1522.751599498606,1188.574673998603,-334.1769255000031,614,614,154,154
c_10312,0.3192895326828834,0.4691326975115333,0.1498431648286499,0.4103126315689475,0.5911662663597108,0.18085363479076333,23.986002314390813,35.64250537572171,11.656503061330898,614,614,154,154
c_10382,0.5509489858687353,0.5670947362979254,0.016145750429190087,0.7926803926062403,0.7970414150084341,0.004361022402193715,14.592026490627566,15.197615584377385,0.6055890937498187,614,614,154,154
c_10393,1.1531114679365286,1.5552987151675757,0.40218724723104704,1.4936879473947569,2.112898092369458,0.619210144974701,10.145024875459027,13.38292135004448,3.237896474585453,614,614,154,154
c_10641,0.5863754414484974,0.9274216334025066,0.3410461919540092,0.7703941902754676,1.2633648965377609,0.4929707062622932,11.588750739499892,17.601373873977344,6.012623134477453,613,613,154,154
c_10695,0.63970343114487,0.6048463097876973,-0.03485712135717278,0.8904394867651344,0.8454449244649661,-0.044994562300168295,19.658345216812855,19.66328607323019,0.004940856417334771,614,614,154,154
c_10733,1.7676144136357277,2.834604682745757,1.0669902691100293,2.231522023365973,3.509141557622097,1.2776195342561238,4.612660031685286,7.218420763458276,2.60576073177299,611,611,153,153
c_10878,0.4118594789730776,0.4114207963148753,-0.000438682658202294,0.5572886780074063,0.5769649469372191,0.01967626892981278,19.81110147595898,20.136629544248063,0.3255280682890813,614,614,154,154
c_10898,0.5882831983095519,0.568020410504606,-0.020262787804945837,0.7765384401543982,0.7460306054512051,-0.03050783470319307,20.49634508329809,20.23379172490256,-0.26255335839552885,614,614,154,154
c_11013,2.733269214823506,4.293277836508221,1.5600086216847147,4.04162076383406,5.515957889239738,1.474337125405678,10.883295063065953,17.676056853007793,6.79276178994184,612,612,154,154
c_11087,6.341315955758329,6.929827322562535,0.5885113668042061,12.143608317798146,11.847125277657064,-0.29648304014108184,207.99544643124003,252.8092322924191,44.81378586117907,614,614,154,154
c_11203,1.4382352439657524,2.0113665809233985,0.5731313369576461,2.327395812928256,2.932424920614466,0.6050291076862102,7.941284871601323,11.545522097862538,3.6042372262612146,612,612,154,154
c_11307,2.599772794136848,2.544108198748695,-0.05566459538815316,4.427834255988572,4.677663100116183,0.24982884412761042,21.43252282172822,19.148826088145512,-2.2836967335827083,614,614,154,154
c_11327,0.6761880078960535,0.7217837792067301,0.0455957713106766,0.8348698183787383,0.9288742794976514,0.09400446111891314,10.8008119965218,12.29101274958479,1.4902007530629895,612,612,153,153
c_11461,1.4544164221832905,2.700024541881349,1.2456081196980586,2.0343420952109654,3.454360044629724,1.4200179494187584,11.734932370577924,25.809205194348166,14.074272823770242,609,609,153,153
c_11735,2.081541006767186,2.7725197248988684,0.6909787181316824,4.383919986397988,4.581780929897904,0.1978609434999159,15.752291983137551,23.4738493124944,7.72155732935685,613,613,154,154
c_11752,0.4919711095589451,0.4487488387773434,-0.04322227078160168,0.6081134757258618,0.6225988672368181,0.014485391510956291,35.69204009360279,30.086214999241335,-5.605825094361457,612,612,153,153
c_1181,5.491862429044893,7.055913628869587,1.5640511998246938,8.96833995329392,10.22034881140725,1.2520088581133297,21.611556620056923,44.58438980906875,22.97283318901183,609,609,153,153
c_1186,0.9899183458354428,1.997407667338848,1.007489321503405,1.17486422950655,2.4294098621911493,1.2545456326845994,12.660585753029494,22.61598748017676,9.955401727147265,613,613,154,154
c_11996,1.3379557047956772,1.747551343838374,0.4095956390426969,1.6551429506370745,2.0953778863250543,0.4402349356879798,13.95790959918067,17.655294915521015,3.6973853163403447,613,613,154,154
c_12060,0.1393219184435442,0.1802579314240978,0.040936012980553604,0.2378292161176445,0.2469515303346055,0.009122314216961025,533.964054228503,955.2427513321531,421.2786971036502,614,614,154,154
c_12158,1.9106663974913136,4.020762854152256,2.1100964566609424,2.30898771468804,5.055006556094251,2.746018841406211,6.787862265102428,13.314785003654316,6.526922738551889,611,611,153,153
c_12164,0.7588075810014022,0.8304649117920135,0.07165733079061132,0.9877322833694504,1.0590380150514405,0.07130573168199006,10.76692901907045,11.536001733714093,0.7690727146436434,614,614,154,154
c_12174,0.5749557041623001,0.667573923865954,0.09261821970365391,0.7553018590539455,0.8790657569007055,0.12376389784676001,9.081618127389412,10.538438699230191,1.4568205718407796,614,614,154,154
c_12189,0.4024761780560019,0.5432471326655811,0.14077095460957922,0.5173666973243207,0.7003668977816099,0.18300020045728915,13.432714898815576,16.515130144853725,3.082415246038149,614,614,154,154
c_12193,0.316933921865914,0.3227718359894223,0.005837914123508259,0.4207564636224599,0.4022037544920033,-0.01855270913045659,12.673227391040568,13.44444698254194,0.7712195915013726,610,610,153,153
c_12231,7.85918750959097,10.035881229407256,2.176693719816286,8.6255976350485,13.009594188129672,4.383996553081172,109.14685799570096,57.59552786485037,-51.55133013085059,614,614,154,154
c_12237,17.675737610789266,13.624608235889012,-4.051129374900254,22.827999641939517,15.96660668148455,-6.8613929604549675,53.914758789478704,26.039377051573027,-27.875381737905677,608,608,152,152
c_12441,1.8266581067639935,2.5848506920867496,0.758192585322756,3.360683822518409,3.772772148295751,0.4120883257773422,12.392895074274769,19.083403080812236,6.690508006537467,611,611,153,153
c_12517,1.1290802073804955,1.8524646706051295,0.723384463224634,1.3714012899737709,2.5129200245068577,1.1415187345330868,6.0046544443293515,9.805105928032637,3.8004514837032852,613,613,154,154
c_12624,0.2778658534523479,0.3046366393566131,0.026770785904265237,0.3942650505298057,0.4319593383785207,0.03769428784871498,13.85514034977224,15.211282388156684,1.3561420383844442,613,613,154,154
c_12767,0.5226328974446229,0.5677131259882893,0.045080228543666334,0.6445162966860847,0.6928766232188074,0.04836032653272271,11.194594833926509,12.19048680597811,0.9958919720516022,614,614,154,154
c_12858,0.3102623125022321,0.3217490331994163,0.011486720697184205,0.4178256137016864,0.4310410809774472,0.013215467275760784,13.753997749104045,14.142612543109609,0.388614794005564,614,614,154,154
