pct_capture_within_96,pct_capture_within_192,pct_capture_within_288,pct_capture_within_672,container_id,first_insignificant_lag,half_life_lag,decorrelation_lag_0p1,integrated_autocorr_time,acf_lag_96,acf_lag_192,acf_lag_288,memory_score,memory_class
0.5812570090963932,0.6960769417456308,0.7264167518712555,1.0,c_10032,192.0,72.0,189.0,-2.2471685659989475,0.3935638715987509,0.06298342475804536,-0.20373131346687,0.4187429909036068,low
0.3579688188507214,0.62477361920558,0.8041631061872595,1.0,c_10034,23.0,14.0,23.0,-1.3297652477701511,0.782272177561452,0.6152337289209355,0.492697527475436,0.6420311811492786,medium
0.33104611870371903,0.5825199953776877,0.7592975127526042,1.0,c_10089,20.0,12.0,20.0,1.2638326421162498,0.7571083836146886,0.6293816785607969,0.5185678251074036,0.668953881296281,high
0.3129913303463254,0.4884036096472592,0.6384503781189467,1.0,c_10132,2.0,1.0,2.0,0.23546818542018144,0.028035949040675964,0.00990333125717322,-0.014278419234456703,0.6870086696536746,high
0.429337259599224,0.5590274352667287,0.7067653248229775,1.0,c_1016,2.0,1.0,2.0,-0.07100984172862845,-0.0025757133665318334,-0.003389513399762716,-0.0023746307352277593,0.570662740400776,low
0.319576264209345,0.5105813435262612,0.6731750180697393,1.0,c_10306,4.0,1.0,3.0,0.3056581794291837,-0.015002154648968466,0.03730311267104036,-0.0064004532268021755,0.6804237357906551,high
0.276990485192368,0.9035618474105709,0.9304094182393928,1.0,c_10312,3.0,1.0,3.0,-0.025902742797068834,-0.010738039172311586,-0.01488751778414902,0.0049727775361123215,0.723009514807632,high
0.3375584860269252,0.5616811986356686,0.7402517283252898,1.0,c_10382,20.0,3.0,19.0,1.7613187052646406,0.45048514720706795,0.3940397660228723,0.32574517516551005,0.6624415139730748,medium
0.33953007516827394,0.5787270278365219,0.7558479553097353,1.0,c_10393,21.0,12.0,20.0,-0.43985838087450624,0.6917042085476645,0.6323933608796661,0.5071846725688555,0.6604699248317261,medium
0.42136399698313803,0.6383811096877076,0.7269432110077901,1.0,c_10641,15.0,1.0,14.0,1.9816522450194949,0.19779702427695078,0.12371582523552517,0.13390858439712272,0.578636003016862,low
0.46272165572214363,0.6023899785048029,0.7007117504313508,1.0,c_10695,9.0,1.0,8.0,-0.8168423666429747,0.07861960057607228,-0.0049648911692312435,-0.032212028189982624,0.5372783442778564,low
0.6436606214520697,0.7360420545618493,0.8391462830868149,1.0,c_10733,115.0,2.0,114.0,7.023339047237052,0.2062273079377954,0.04728205796411513,0.017136147320133573,0.3563393785479303,low
0.3726013286946398,0.5014180638516267,0.6101116597513744,1.0,c_10878,7.0,1.0,3.0,0.9216891175053801,0.07105656863970719,0.033414240286045956,0.030314402000899996,0.6273986713053602,medium
0.34578747446322194,0.5513450696448582,0.6581551796219219,1.0,c_10898,3.0,1.0,2.0,-0.029708025255043236,-0.04569290202896466,0.018625652825130984,0.03153838559238186,0.6542125255367781,medium
0.3430184782232098,0.5948292801489847,0.7599705098218859,1.0,c_11013,21.0,13.0,20.0,-1.5085251308512007,0.7908448910230012,0.6279564464323277,0.5091046997951689,0.6569815217767903,medium
0.387037388776796,0.5587462725658555,0.6792414172858067,1.0,c_11087,3.0,1.0,3.0,0.08342069449152811,-0.006148106254746692,0.028203393284374084,0.007849966112594307,0.6129626112232041,low
0.340710667189173,0.5723960941375311,0.7374757089496041,1.0,c_11203,20.0,13.0,20.0,1.6613903325091863,0.7719108452910047,0.6454974184026362,0.5342048293781744,0.659289332810827,medium
0.413970361579117,0.6413111262436293,0.7457170210897248,1.0,c_11307,19.0,2.0,11.0,2.0243636222836145,0.33816632510087674,0.2359246655733014,0.16646082687133268,0.586029638420883,low
0.3472597867575637,0.5910141839796144,0.7467555631424531,1.0,c_11327,19.0,9.0,18.0,-0.7512843611011943,0.5916957345486485,0.49080131188606524,0.393353088584607,0.6527402132424363,medium
0.3392392942573688,0.5891319488689107,0.7550882410154303,1.0,c_11461,22.0,10.0,21.0,1.1253126225129675,0.7396490667478883,0.6152491162990125,0.4921829884372654,0.6607607057426312,medium
0.37863222369796556,0.5764714733623948,0.750987678759426,1.0,c_11735,23.0,3.0,20.0,2.946575387994308,0.2510608953871956,0.22300796780488102,0.2215798201295393,0.6213677763020344,medium
0.4085054789595319,0.6199852458701701,0.7349823775442139,1.0,c_11752,4.0,1.0,3.0,0.01612447592989774,0.04317439924943554,-0.029864835414136075,-0.003633938515377651,0.5914945210404681,low
0.3328301499019386,0.5891649727583642,0.7722929808000641,1.0,c_1181,17.0,5.0,17.0,1.1657404673589267,0.5343360325474441,0.4861083551518447,0.40223584994862943,0.6671698500980614,high
0.3333205289572798,0.5773206216075943,0.7467639536306616,1.0,c_1186,22.0,14.0,21.0,0.7791638270856787,0.8506590145463534,0.7100561296622327,0.5792132895555853,0.6666794710427202,high
0.34347069027181526,0.5883760796271679,0.747170684024102,1.0,c_11996,20.0,12.0,20.0,-0.29853024240037573,0.6512223150241994,0.5401746799468204,0.4289346605012559,0.6565293097281848,medium
0.4796595947465445,0.6668396190457058,0.7351414532781948,1.0,c_12060,7.0,1.0,7.0,0.021505090942510297,0.08204975594453058,0.01204729239353032,-0.031280028983818764,0.5203404052534555,low
0.332866976805529,0.5806563149742717,0.755045227896343,1.0,c_12158,19.0,12.0,19.0,0.8900662895642331,0.844011920209477,0.7171446335947629,0.594653012210085,0.667133023194471,high
0.33846882041004894,0.5230616083964976,0.6526887957120682,1.0,c_12164,8.0,1.0,3.0,-0.6259755069788207,0.06234868962744362,0.016285134337273927,-0.015086097621182196,0.661531179589951,medium
