container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio,memory_score,memory_class,pct_capture_within_96,pct_capture_within_192,pct_capture_within_288,acf_lag_96,acf_lag_192,acf_lag_288,integrated_autocorr_time,decorrelation_lag_0p1
c_10032,g96,g288,-0.01794043431679415,-0.019175445447681683,-0.7076798393672057,-0.0026578422474825003,-0.0028408079613875953,-0.03860227194659702,0.161348009569374,-0.2109999876560975,0.4187429909036068,low,0.5812570090963932,0.6960769417456308,0.7264167518712555,0.3935638715987509,0.06298342475804536,-0.20373131346687,-2.2471685659989475,189.0
c_10034,g96,g288,-2.525441815080638,-2.6023400972777515,-26.22517218773192,-0.08280138115223439,-0.08532263391780401,-0.008141896138444404,2.207506054922649,-0.0908829352715601,0.6420311811492786,medium,0.3579688188507214,0.62477361920558,0.8041631061872595,0.782272177561452,0.6152337289209355,0.492697527475436,-1.3297652477701511,23.0
c_10089,g96,g288,0.300960041306637,0.37952837356192104,2.5963007752864637,0.021497138695195095,0.0271091621606339,-0.01707295310620538,-0.13344692148648674,-0.0003325472759956316,0.668953881296281,high,0.33104611870371903,0.5825199953776877,0.7592975127526042,0.7571083836146886,0.6293816785607969,0.5185678251074036,1.2638326421162498,20.0
c_10132,g96,g288,0.0030081628097428093,0.003668944357248183,0.1178051540510836,0.0007520388397904976,0.0009172336144941118,0.080386838170592,-0.010190218488798294,0.06977036151348881,0.6870086696536746,high,0.3129913303463254,0.4884036096472592,0.6384503781189467,0.028035949040675964,0.00990333125717322,-0.014278419234456703,0.23546818542018144,2.0
c_1016,g96,g288,0.06344332363870403,0.06205603048222785,2.712620866326464,0.004531665530706198,0.004432572948861804,-0.0747459262735588,-0.2867367710491593,0.22336931408215255,0.570662740400776,low,0.429337259599224,0.5590274352667287,0.7067653248229775,-0.0025757133665318334,-0.003389513399762716,-0.0023746307352277593,-0.07100984172862845,2.0
c_10306,g96,g288,-0.006858117878437098,-0.0030780886884680947,-33.08951792196672,-0.0019594621456539008,-0.0008794535545431914,0.02191317745595639,0.0164700756156113,-0.003119062298987507,0.6804237357906551,high,0.319576264209345,0.5105813435262612,0.6731750180697393,-0.015002154648968466,0.03730311267104036,-0.0064004532268021755,0.3056581794291837,3.0
c_10312,g96,g288,-0.07144009371081161,-0.08106911080380619,-6.227167581374694,-0.0020411456519800995,-0.002316260469554101,0.2012598715844686,0.8648462655810156,-0.07926547309544985,0.723009514807632,high,0.276990485192368,0.9035618474105709,0.9304094182393928,-0.010738039172311586,-0.01488751778414902,0.0049727775361123215,-0.025902742797068834,3.0
c_10382,g96,g288,0.04738975978559912,0.06750024072697647,0.4458343422109543,0.005923718809046699,0.008437529939023608,-0.053372816460601435,-0.1381290789702196,0.16723603494384642,0.6624415139730748,medium,0.3375584860269252,0.5616811986356686,0.7402517283252898,0.45048514720706795,0.3940397660228723,0.32574517516551005,1.7613187052646406,19.0
c_10393,g96,g288,0.14334068336972483,0.10934306980928232,0.2213016371372607,0.006825745733195401,0.0052068112918459,-0.015037871372534206,-0.02096174259153316,0.008396441212628059,0.6604699248317261,medium,0.33953007516827394,0.5787270278365219,0.7558479553097353,0.6917042085476645,0.6323933608796661,0.5071846725688555,-0.43985838087450624,20.0
c_10641,g96,g288,0.15483723829189922,0.238124327449319,2.7143946993767525,0.007373201198846296,0.011339253276041898,-0.5460841138167649,-0.7119543802626198,-0.05580272382731272,0.578636003016862,low,0.42136399698313803,0.6383811096877076,0.7269432110077901,0.19779702427695078,0.12371582523552517,0.13390858439712272,1.9816522450194949,14.0
c_10695,g96,g288,0.007503146926561954,0.016971583448503247,0.1910062394574652,0.0015006364323199017,0.0033943234082666196,-0.1388842408363454,-0.0417047243345956,-0.026074561516320788,0.5372783442778564,low,0.46272165572214363,0.6023899785048029,0.7007117504313508,0.07861960057607228,-0.0049648911692312435,-0.032212028189982624,-0.8168423666429747,8.0
c_10733,g96,g288,0.3612766265869145,0.33604091733084474,0.907875031782563,0.02257978885124129,0.0210025596405799,0.10862730879643678,-0.3968505527141004,-0.026473233397217688,0.3563393785479303,low,0.6436606214520697,0.7360420545618493,0.8391462830868149,0.2062273079377954,0.04728205796411513,0.017136147320133573,7.023339047237052,114.0
c_10878,g96,g288,0.012266794012652404,0.02059129950953531,0.2770727178262504,0.002453352190140201,0.00411825298852421,-0.1562569278414635,-0.0690447991171768,0.002972842237779799,0.6273986713053602,medium,0.3726013286946398,0.5014180638516267,0.6101116597513744,0.07105656863970719,0.033414240286045956,0.030314402000899996,0.9216891175053801,3.0
c_10898,g96,g288,0.014403449164496651,0.02097911306152478,0.429849416869704,0.003200765946351103,0.004662023491817019,-0.169246857896514,-0.058922418152378704,0.0547092120637538,0.6542125255367781,medium,0.34578747446322194,0.5513450696448582,0.6581551796219219,-0.04569290202896466,0.018625652825130984,0.03153838559238186,-0.029708025255043236,2.0
c_11013,g96,g288,0.564126779635747,1.0079070639437173,2.1606051594431186,0.0125361423525545,0.0223979271897589,-0.03196172211256254,-0.11036405749787725,0.013097369452464758,0.6569815217767903,medium,0.3430184782232098,0.5948292801489847,0.7599705098218859,0.7908448910230012,0.6279564464323277,0.5091046997951689,-1.5085251308512007,20.0
c_11087,g96,g288,0.14853888957036876,0.28542826042499314,5.757282847637242,0.001597192585874499,0.003069120702135192,-0.1854243926716922,-0.048845936789445196,-0.041884190736154986,0.6129626112232041,low,0.387037388776796,0.5587462725658555,0.6792414172858067,-0.006148106254746692,0.028203393284374084,0.007849966112594307,0.08342069449152811,3.0
c_11203,g96,g288,1.4434785031610065,1.480172467761161,7.912605614275533,0.05155280435093801,0.0528633038895511,-0.022315806619650047,-0.2296893807916226,0.017501884038392035,0.659289332810827,medium,0.340710667189173,0.5723960941375311,0.7374757089496041,0.7719108452910047,0.6454974184026362,0.5342048293781744,1.6613903325091863,20.0
