bin_center,count
-3.555917479281595,20
-2.9889792171069187,36
-2.4220409549322417,205
-1.855102692757565,1043
-1.2881644305828883,3802
-0.7212261684082115,13751
-0.15428790623353472,21056
0.41265035594114186,10834
0.9795886181158187,5220
1.5465268802904952,2378
2.113465142465172,1051
2.680403404639849,584
3.2473416668145254,273
3.814279928989202,152
4.381218191163878,80
4.948156453338555,27
5.515094715513232,36
6.082032977687909,19
6.648971239862585,15
7.2159095020372614,14
7.7828477642119385,10
8.349786026386615,3
8.916724288561293,4
9.48366255073597,3
10.050600812910645,5
10.617539075085322,4
11.184477337259999,4
11.751415599434676,4
12.318353861609353,1
12.885292123784028,0
13.452230385958705,5
14.019168648133382,1
14.58610691030806,0
15.153045172482736,4
15.719983434657413,3
16.28692169683209,1
16.85385995900677,1
17.420798221181442,0
17.987736483356116,1
18.554674745530797,0
19.12161300770547,2
19.68855126988015,1
20.255489532054824,1
20.822427794229505,0
21.389366056404178,0
21.95630431857886,1
22.523242580753532,0
23.090180842928213,0
23.657119105102886,0
24.224057367277563,3
