percentile,global_peak_timestep_pct,mean_container_peak_pct,median_container_peak_pct,std_container_peak_pct,min_container_peak_pct,max_container_peak_pct,containers_with_zero_peaks
85,21.660786705793136,21.668807357361846,16.286644951140065,18.550575389773062,14.983713355048861,100.0,0
90,17.361271390418413,17.370494388543246,11.582381729200652,19.632093697324052,10.0,100.0,0
95,11.0537769131854,11.064555729662105,5.728314238952537,18.65639640498316,5.0,100.0,0
