epoch,loss,mae,val_loss,val_mae
1,1.0215568542480469,0.633084774017334,1.0360329151153564,0.6385502815246582
2,1.023314356803894,0.6343648433685303,1.0370421409606934,0.6363390684127808
3,1.0338467359542847,0.6411218047142029,1.0395303964614868,0.6425725221633911
4,1.0292564630508423,0.6378557085990906,1.036957859992981,0.6384274363517761
5,1.0326707363128662,0.6403239369392395,1.0376904010772705,0.6419631838798523
6,1.0327503681182861,0.6398820281028748,1.0388319492340088,0.6406615376472473
7,1.0327900648117065,0.6395881772041321,1.0388456583023071,0.6406542658805847
8,1.0320913791656494,0.6390381455421448,1.0385701656341553,0.6404775977134705
9,1.0318548679351807,0.6388615965843201,1.0389167070388794,0.6401451826095581
10,1.0328081846237183,0.6395315527915955,1.0385866165161133,0.6413404941558838
11,1.0320652723312378,0.6389836072921753,1.038463830947876,0.6412061452865601
